year_month,station_id,station_name,station_name_en,station_attribute,metric,value,source_file
2017-11-01,467080,宜蘭,YILAN,署屬有人氣象站,Precipitation,430.0,dy_Report_2017.xml
2017-12-01,467080,宜蘭,YILAN,署屬有人氣象站,Precipitation,435.9,dy_Report_2017.xml
2017-01-01,467110,金門,KINMEN,署屬有人氣象站,Precipitation,4.6,dy_Report_2017.xml
2017-02-01,467110,金門,KINMEN,署屬有人氣象站,Precipitation,90.1,dy_Report_2017.xml
2017-03-01,467110,金門,KINMEN,署屬有人氣象站,Precipitation,39.7,dy_Report_2017.xml
2017-04-01,467110,金門,KINMEN,署屬有人氣象站,Precipitation,44.6,dy_Report_2017.xml
2017-05-01,467110,金門,KINMEN,署屬有人氣象站,Precipitation,100.9,dy_Report_2017.xml
2017-06-01,467110,金門,KINMEN,署屬有人氣象站,Precipitation,170.9,dy_Report_2017.xml
2017-07-01,467110,金門,KINMEN,署屬有人氣象站,Precipitation,92.6,dy_Report_2017.xml
2017-08-01,467110,金門,KINMEN,署屬有人氣象站,Precipitation,46.5,dy_Report_2017.xml
2017-09-01,467110,金門,KINMEN,署屬有人氣象站,Precipitation,29.4,dy_Report_2017.xml
2017-10-01,467110,金門,KINMEN,署屬有人氣象站,Precipitation,1.3,dy_Report_2017.xml
2017-11-01,467110,金門,KINMEN,署屬有人氣象站,Precipitation,28.6,dy_Report_2017.xml
2017-12-01,467110,金門,KINMEN,署屬有人氣象站,Precipitation,,dy_Report_2017.xml
2017-01-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,Precipitation,,dy_Report_2017.xml
2017-02-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,Precipitation,1.7,dy_Report_2017.xml
2017-03-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,Precipitation,2.4,dy_Report_2017.xml
2017-04-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,Precipitation,79.4,dy_Report_2017.xml
2017-05-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,Precipitation,69.0,dy_Report_2017.xml
2017-06-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,Precipitation,275.0,dy_Report_2017.xml
2017-07-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,Precipitation,256.1,dy_Report_2017.xml
2017-08-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,Precipitation,80.1,dy_Report_2017.xml
2017-09-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,Precipitation,19.7,dy_Report_2017.xml
2017-10-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,Precipitation,20.5,dy_Report_2017.xml
2017-11-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,Precipitation,6.2,dy_Report_2017.xml
2017-12-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,Precipitation,4.9,dy_Report_2017.xml
2017-01-01,467350,澎湖,PENGHU,署屬有人氣象站,Precipitation,0.9,dy_Report_2017.xml
2017-02-01,467350,澎湖,PENGHU,署屬有人氣象站,Precipitation,3.4,dy_Report_2017.xml
2017-03-01,467350,澎湖,PENGHU,署屬有人氣象站,Precipitation,16.8,dy_Report_2017.xml
2017-04-01,467350,澎湖,PENGHU,署屬有人氣象站,Precipitation,132.3,dy_Report_2017.xml
2017-05-01,467350,澎湖,PENGHU,署屬有人氣象站,Precipitation,81.2,dy_Report_2017.xml
2017-06-01,467350,澎湖,PENGHU,署屬有人氣象站,Precipitation,314.7,dy_Report_2017.xml
2017-07-01,467350,澎湖,PENGHU,署屬有人氣象站,Precipitation,240.5,dy_Report_2017.xml
2017-08-01,467350,澎湖,PENGHU,署屬有人氣象站,Precipitation,98.8,dy_Report_2017.xml
2017-09-01,467350,澎湖,PENGHU,署屬有人氣象站,Precipitation,20.1,dy_Report_2017.xml
2017-10-01,467350,澎湖,PENGHU,署屬有人氣象站,Precipitation,13.0,dy_Report_2017.xml
2017-11-01,467350,澎湖,PENGHU,署屬有人氣象站,Precipitation,26.7,dy_Report_2017.xml
2017-12-01,467350,澎湖,PENGHU,署屬有人氣象站,Precipitation,5.4,dy_Report_2017.xml
2017-01-01,467410,臺南,TAINAN,署屬有人氣象站,Precipitation,0.0,dy_Report_2017.xml
2017-02-01,467410,臺南,TAINAN,署屬有人氣象站,Precipitation,1.0,dy_Report_2017.xml
2017-03-01,467410,臺南,TAINAN,署屬有人氣象站,Precipitation,12.8,dy_Report_2017.xml
2017-04-01,467410,臺南,TAINAN,署屬有人氣象站,Precipitation,64.5,dy_Report_2017.xml
2017-05-01,467410,臺南,TAINAN,署屬有人氣象站,Precipitation,79.5,dy_Report_2017.xml
2017-06-01,467410,臺南,TAINAN,署屬有人氣象站,Precipitation,251.5,dy_Report_2017.xml
2017-07-01,467410,臺南,TAINAN,署屬有人氣象站,Precipitation,506.9,dy_Report_2017.xml
2017-08-01,467410,臺南,TAINAN,署屬有人氣象站,Precipitation,196.5,dy_Report_2017.xml
2017-09-01,467410,臺南,TAINAN,署屬有人氣象站,Precipitation,39.5,dy_Report_2017.xml
2017-10-01,467410,臺南,TAINAN,署屬有人氣象站,Precipitation,39.5,dy_Report_2017.xml
2017-11-01,467410,臺南,TAINAN,署屬有人氣象站,Precipitation,1.5,dy_Report_2017.xml
2017-12-01,467410,臺南,TAINAN,署屬有人氣象站,Precipitation,2.0,dy_Report_2017.xml
2017-01-01,467420,永康,YONGKANG,署屬有人氣象站,Precipitation,0.0,dy_Report_2017.xml
2017-02-01,467420,永康,YONGKANG,署屬有人氣象站,Precipitation,1.5,dy_Report_2017.xml
2017-03-01,467420,永康,YONGKANG,署屬有人氣象站,Precipitation,6.0,dy_Report_2017.xml
2017-04-01,467420,永康,YONGKANG,署屬有人氣象站,Precipitation,58.0,dy_Report_2017.xml
2017-05-01,467420,永康,YONGKANG,署屬有人氣象站,Precipitation,81.5,dy_Report_2017.xml
2017-06-01,467420,永康,YONGKANG,署屬有人氣象站,Precipitation,279.0,dy_Report_2017.xml
2017-07-01,467420,永康,YONGKANG,署屬有人氣象站,Precipitation,549.0,dy_Report_2017.xml
2017-08-01,467420,永康,YONGKANG,署屬有人氣象站,Precipitation,115.5,dy_Report_2017.xml
2017-09-01,467420,永康,YONGKANG,署屬有人氣象站,Precipitation,21.0,dy_Report_2017.xml
2017-10-01,467420,永康,YONGKANG,署屬有人氣象站,Precipitation,44.0,dy_Report_2017.xml
2017-11-01,467420,永康,YONGKANG,署屬有人氣象站,Precipitation,1.5,dy_Report_2017.xml
2017-12-01,467420,永康,YONGKANG,署屬有人氣象站,Precipitation,2.5,dy_Report_2017.xml
2017-01-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,Precipitation,0.0,dy_Report_2017.xml
2017-02-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,Precipitation,0.0,dy_Report_2017.xml
2017-03-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,Precipitation,3.5,dy_Report_2017.xml
2017-04-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,Precipitation,113.5,dy_Report_2017.xml
2017-05-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,Precipitation,129.0,dy_Report_2017.xml
2017-06-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,Precipitation,256.0,dy_Report_2017.xml
2017-07-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,Precipitation,285.0,dy_Report_2017.xml
2017-08-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,Precipitation,211.0,dy_Report_2017.xml
2017-09-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,Precipitation,32.5,dy_Report_2017.xml
2017-10-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,Precipitation,82.5,dy_Report_2017.xml
2017-11-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,Precipitation,11.0,dy_Report_2017.xml
2017-12-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,Precipitation,0.5,dy_Report_2017.xml
2017-01-01,467480,嘉義,CHIAYI,署屬有人氣象站,Precipitation,1.3,dy_Report_2017.xml
2017-02-01,467480,嘉義,CHIAYI,署屬有人氣象站,Precipitation,1.2,dy_Report_2017.xml
2017-03-01,467480,嘉義,CHIAYI,署屬有人氣象站,Precipitation,18.4,dy_Report_2017.xml
2017-04-01,467480,嘉義,CHIAYI,署屬有人氣象站,Precipitation,105.9,dy_Report_2017.xml
2017-05-01,467480,嘉義,CHIAYI,署屬有人氣象站,Precipitation,77.8,dy_Report_2017.xml
2017-06-01,467480,嘉義,CHIAYI,署屬有人氣象站,Precipitation,578.0,dy_Report_2017.xml
2017-07-01,467480,嘉義,CHIAYI,署屬有人氣象站,Precipitation,663.2,dy_Report_2017.xml
2017-08-01,467480,嘉義,CHIAYI,署屬有人氣象站,Precipitation,198.6,dy_Report_2017.xml
2017-09-01,467480,嘉義,CHIAYI,署屬有人氣象站,Precipitation,117.2,dy_Report_2017.xml
2017-10-01,467480,嘉義,CHIAYI,署屬有人氣象站,Precipitation,79.0,dy_Report_2017.xml
2017-11-01,467480,嘉義,CHIAYI,署屬有人氣象站,Precipitation,10.5,dy_Report_2017.xml
2017-12-01,467480,嘉義,CHIAYI,署屬有人氣象站,Precipitation,3.7,dy_Report_2017.xml
2017-01-01,467490,臺中,TAICHUNG,署屬有人氣象站,Precipitation,4.0,dy_Report_2017.xml
2017-02-01,467490,臺中,TAICHUNG,署屬有人氣象站,Precipitation,20.8,dy_Report_2017.xml
2017-03-01,467490,臺中,TAICHUNG,署屬有人氣象站,Precipitation,38.0,dy_Report_2017.xml
2017-04-01,467490,臺中,TAICHUNG,署屬有人氣象站,Precipitation,98.8,dy_Report_2017.xml
2017-05-01,467490,臺中,TAICHUNG,署屬有人氣象站,Precipitation,111.5,dy_Report_2017.xml
2017-06-01,467490,臺中,TAICHUNG,署屬有人氣象站,Precipitation,894.0,dy_Report_2017.xml
2017-07-01,467490,臺中,TAICHUNG,署屬有人氣象站,Precipitation,313.7,dy_Report_2017.xml
2017-08-01,467490,臺中,TAICHUNG,署屬有人氣象站,Precipitation,69.0,dy_Report_2017.xml
2017-09-01,467490,臺中,TAICHUNG,署屬有人氣象站,Precipitation,21.4,dy_Report_2017.xml
2017-10-01,467490,臺中,TAICHUNG,署屬有人氣象站,Precipitation,53.5,dy_Report_2017.xml
2017-11-01,467490,臺中,TAICHUNG,署屬有人氣象站,Precipitation,19.5,dy_Report_2017.xml
2017-12-01,467490,臺中,TAICHUNG,署屬有人氣象站,Precipitation,8.0,dy_Report_2017.xml
2017-01-01,467530,阿里山,ALISHAN,署屬有人氣象站,Precipitation,10.0,dy_Report_2017.xml
2017-02-01,467530,阿里山,ALISHAN,署屬有人氣象站,Precipitation,33.4,dy_Report_2017.xml
2017-03-01,467530,阿里山,ALISHAN,署屬有人氣象站,Precipitation,107.4,dy_Report_2017.xml
2017-04-01,467530,阿里山,ALISHAN,署屬有人氣象站,Precipitation,330.5,dy_Report_2017.xml
2017-05-01,467530,阿里山,ALISHAN,署屬有人氣象站,Precipitation,336.0,dy_Report_2017.xml
2017-06-01,467530,阿里山,ALISHAN,署屬有人氣象站,Precipitation,1986.6,dy_Report_2017.xml
