year_month,station_id,station_name,station_name_en,station_attribute,source_file,Precipitation
2017-04-01,467660,臺東,TAITUNG,署屬有人氣象站,dy_Report_2017.xml,82.8
2017-04-01,467990,馬祖,MATSU,署屬有人氣象站,dy_Report_2017.xml,143.8
2017-04-01,C0G650,員林,Yuanlin,署屬自動氣象站,dy_Report_2017.xml,123.5
2017-04-01,C0K400,斗六,Douliu,署屬自動氣象站,dy_Report_2017.xml,108.0
2017-04-01,C1E770,公館,Gongguan,署屬自動氣象站,dy_Report_2017.xml,116.0
2017-05-01,466880,板橋,BANQIAO,署屬有人氣象站,dy_Report_2017.xml,152.9
2017-05-01,466900,淡水,TAMSUI,署屬有人氣象站,dy_Report_2017.xml,143.5
2017-05-01,466910,鞍部,ANBU,署屬有人氣象站,dy_Report_2017.xml,181.5
2017-05-01,466920,臺北,TAIPEI,署屬有人氣象站,dy_Report_2017.xml,135.5
2017-05-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,dy_Report_2017.xml,163.1
2017-05-01,466940,基隆,KEELUNG,署屬有人氣象站,dy_Report_2017.xml,229.1
2017-05-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,dy_Report_2017.xml,198.4
2017-05-01,466990,花蓮,HUALIEN,署屬有人氣象站,dy_Report_2017.xml,144.5
2017-05-01,467050,新屋,XINWU,署屬有人氣象站,dy_Report_2017.xml,83.4
2017-05-01,467060,蘇澳,SU-AO,署屬有人氣象站,dy_Report_2017.xml,271.7
2017-05-01,467080,宜蘭,YILAN,署屬有人氣象站,dy_Report_2017.xml,227.6
2017-05-01,467110,金門,KINMEN,署屬有人氣象站,dy_Report_2017.xml,100.9
2017-05-01,467300,東吉島,DONGJIDAO,署屬有人氣象站,dy_Report_2017.xml,69.0
2017-05-01,467350,澎湖,PENGHU,署屬有人氣象站,dy_Report_2017.xml,81.2
2017-05-01,467410,臺南,TAINAN,署屬有人氣象站,dy_Report_2017.xml,79.5
2017-05-01,467420,永康,YONGKANG,署屬有人氣象站,dy_Report_2017.xml,81.5
2017-05-01,467440,高雄,KAOHSIUNG,署屬有人氣象站,dy_Report_2017.xml,129.0
2017-05-01,467480,嘉義,CHIAYI,署屬有人氣象站,dy_Report_2017.xml,77.8
2017-05-01,467490,臺中,TAICHUNG,署屬有人氣象站,dy_Report_2017.xml,111.5
2017-05-01,467530,阿里山,ALISHAN,署屬有人氣象站,dy_Report_2017.xml,336.0
2017-05-01,467540,大武,DAWU,署屬有人氣象站,dy_Report_2017.xml,88.1
2017-05-01,467550,玉山,YUSHAN,署屬有人氣象站,dy_Report_2017.xml,339.5
2017-05-01,467571,新竹,HSINCHU,署屬有人氣象站,dy_Report_2017.xml,99.5
2017-05-01,467590,恆春,HENGCHUN,署屬有人氣象站,dy_Report_2017.xml,48.7
2017-05-01,467610,成功,CHENGGONG,署屬有人氣象站,dy_Report_2017.xml,103.1
2017-05-01,467620,蘭嶼,LANYU,署屬有人氣象站,dy_Report_2017.xml,317.9
2017-05-01,467650,日月潭,SUN MOON LAKE,署屬有人氣象站,dy_Report_2017.xml,347.5
2017-05-01,467660,臺東,TAITUNG,署屬有人氣象站,dy_Report_2017.xml,184.5
2017-05-01,467990,馬祖,MATSU,署屬有人氣象站,dy_Report_2017.xml,103.6
